Abrigo
Acampamento
Achado(s) Isolado(s)
Afloramento monumentalizado
Alcaria
Alinhamento
Anta/Dólmen
Aqueduto
Ara
Arte Rupestre
Atalaia
Aterro
Azenha
Balneário
Barragem
Basílica
Bateria
Berrão
Cais
Calçada
Campo de Batalha
Canal
Canalização
Capela
Casal Rústico
Castelo
Castelo Roqueiro
Cemitério
Cetária
Chafurdão
Cidade
Cipo
Circo
Cista
Cisterna
Complexo Industrial
Concheiro
Conheira
Convento
Criptopórtico
Cromeleque
Cruzeiro
Curral
Depósito
Depósito intencional
Dolmen
Edifício
Ermida
Escorial
Escultura
Estação de Ar Livre
Estela
Estrutura
Estrutura portuária
Exploração Mineral
Ferraria
Fonte
Forja
Forno
Fortificação
Fortim
Forum
Fossa
Fosso
Galeria Coberta
Granja
Gruta
Gruta Artificial
Gruta Natural
Habitat
Hipocausto
Hipogeu
Igreja
Indeterminado
Inscrição
Inscultura
Jazida
Lagar
Lagareta
Laje Sepulcral
Lixeira
Malaposta/Mutatio
Mamoa
Mancha de Ocupação
Mansio
Marco
Marco de delimitação
Marco miliário
Marco Miliário
Menir
Mesquita
Mina
Moinho
Moinho de Água
Monte
Monumento Megalítico
Mosaico
Mosteiro
Muralha
Muro
Necrópole
Nicho
Núcleo de Povoamento
Oficina de Talhe
Olaria
Ossário
Outros
Paço
Palácio
Pedreira
Pelourinho
Peso de Lagar
Pia
Poço
Poldra
Ponte
Porto
Povoado
Povoado Fortificado
Povoado Mineiro
Quinta
Recinto
Recinto de Fossos
Represa
Ribat
Salina
Santuário
Sarcófago
Sepultura
Sepultura Escavada na Rocha
Silo
Sinagoga
Tanque
Teatro
Templo
Termas
Tesouro
Tholos
Torre
Vestígios de Superfície
Vestígios Diversos
Vestígios osteológicos humanos dispersos
Via
Vicus
Villa
